random_state,test_AUC,train_AUC,test_Accuracy,test_Precision,test_Recall,test_Sensitivity,test_Specificity,test_f1_score,test_negatice_llr,test_negative_prediction,test_positive_llr,test_positive_prediction,train_AUC,train_Accuracy,train_Precision,train_Recall,train_Sensitivity,train_Specificity,train_f1_score,train_negatice_llr,train_negative_prediction,train_positive_llr,train_positive_prediction
40,0.598,0.819,0.767,0.821,0.909,0.909,0.172,0.863,0.527,0.312,1.098,0.821,0.819,0.836,0.847,0.971,0.971,0.269,0.905,0.106,0.692,1.328,0.847
43,0.603,0.814,0.727,0.812,0.86,0.86,0.172,0.835,0.815,0.227,1.039,0.812,0.814,0.836,0.847,0.971,0.971,0.269,0.905,0.106,0.692,1.328,0.847
82,0.603,0.818,0.753,0.823,0.884,0.884,0.207,0.853,0.559,0.3,1.115,0.823,0.818,0.827,0.848,0.957,0.957,0.284,0.899,0.151,0.613,1.336,0.848
81,0.604,0.817,0.787,0.835,0.917,0.917,0.241,0.874,0.342,0.412,1.209,0.835,0.817,0.844,0.86,0.964,0.964,0.343,0.909,0.104,0.697,1.468,0.86
56,0.604,0.822,0.767,0.826,0.901,0.901,0.207,0.862,0.479,0.333,1.136,0.826,0.822,0.824,0.845,0.957,0.957,0.269,0.898,0.16,0.6,1.309,0.845
72,0.606,0.81,0.793,0.817,0.959,0.959,0.103,0.882,0.399,0.375,1.069,0.817,0.81,0.83,0.849,0.961,0.961,0.284,0.901,0.139,0.633,1.341,0.849
26,0.61,0.763,0.767,0.812,0.926,0.926,0.103,0.865,0.719,0.25,1.032,0.812,0.763,0.804,0.821,0.968,0.968,0.119,0.889,0.269,0.471,1.099,0.821
31,0.612,0.786,0.773,0.818,0.926,0.926,0.138,0.868,0.539,0.308,1.074,0.818,0.786,0.816,0.838,0.957,0.957,0.224,0.893,0.191,0.556,1.233,0.838
44,0.614,0.827,0.773,0.837,0.893,0.893,0.276,0.864,0.389,0.381,1.233,0.837,0.827,0.862,0.867,0.979,0.979,0.373,0.919,0.057,0.806,1.561,0.867
57,0.614,0.835,0.727,0.828,0.835,0.835,0.276,0.831,0.599,0.286,1.153,0.828,0.835,0.824,0.859,0.936,0.936,0.358,0.896,0.179,0.571,1.458,0.859
92,0.615,0.813,0.753,0.804,0.917,0.917,0.069,0.857,1.198,0.167,0.985,0.804,0.813,0.824,0.843,0.961,0.961,0.254,0.898,0.155,0.607,1.287,0.843
42,0.62,0.834,0.747,0.817,0.884,0.884,0.172,0.849,0.671,0.263,1.069,0.817,0.834,0.81,0.841,0.943,0.943,0.254,0.889,0.225,0.515,1.263,0.841
100,0.621,0.842,0.787,0.84,0.909,0.909,0.276,0.873,0.33,0.421,1.255,0.84,0.842,0.853,0.866,0.968,0.968,0.373,0.914,0.086,0.735,1.544,0.866
54,0.622,0.787,0.787,0.83,0.926,0.926,0.207,0.875,0.36,0.4,1.167,0.83,0.787,0.833,0.845,0.971,0.971,0.254,0.904,0.113,0.68,1.302,0.845
68,0.622,0.817,0.773,0.832,0.901,0.901,0.241,0.865,0.411,0.368,1.187,0.832,0.817,0.839,0.857,0.961,0.961,0.328,0.906,0.12,0.667,1.43,0.857
29,0.627,0.783,0.793,0.826,0.942,0.942,0.172,0.88,0.336,0.417,1.138,0.826,0.783,0.821,0.834,0.971,0.971,0.194,0.898,0.147,0.619,1.205,0.834
65,0.627,0.832,0.76,0.824,0.893,0.893,0.207,0.857,0.519,0.316,1.125,0.824,0.832,0.827,0.85,0.954,0.954,0.299,0.899,0.156,0.606,1.359,0.85
77,0.629,0.769,0.767,0.807,0.934,0.934,0.069,0.866,0.959,0.2,1.003,0.807,0.769,0.821,0.83,0.979,0.979,0.164,0.898,0.131,0.647,1.171,0.83
